codigo_dane,municipio,tasa_incidencia,tasa_mortalidad
68179,CHIPATÁ,3476.3906,480.0744
15176,CHIQUINQUIRÁ,13475.1689,2959.0155
20178,CHIRIGUANÁ,3818.672,1662.5004
15180,CHISCAS,903.8339,908.978
15183,CHITA,3025.4235,1008.3181
54174,CHITAGÁ,2276.2821,1467.3059
15185,CHITARAQUE,3968.7803,568.1037
15187,CHIVATÁ,2568.4671,433.0645
47170,CHIVOLO,3151.051,1371.6969
15236,CHIVOR,2622.0683,265.7143
25181,CHOACHÍ,5964.5031,1320.4306
25183,CHOCONTÁ,5816.9848,1479.2139
85015,CHÁMEZA,7111.0796,1836.8571
25175,CHÍA,20347.5768,2191.0944
15232,CHÍQUIZA,2054.1783,1388.1077
13188,CICUCO,3880.8153,186.764
68190,CIMITARRA,3140.178,2264.5913
63190,CIRCASIA,6118.2234,1772.9841
05190,CISNEROS,7351.0703,1981.9347
05101,CIUDAD BOLÍVAR,10128.5774,1447.8857
47189,CIÉNAGA,6547.9859,4440.274
23189,CIÉNAGA DE ORO,5924.7731,1492.964
15189,CIÉNEGA,2517.6694,833.0516
13222,CLEMENCIA,1442.51,518.7384
05197,COCORNÁ,4779.99,1035.7213
73200,COELLO,1096.9214,725.2309
25200,COGUA,9255.0989,2318.0919
41206,COLOMBIA,2711.237,589.6255
70204,COLOSÓ,5440.3506,988.2863
52203,COLÓN,8079.2189,1101.6123
86219,COLÓN,6695.0759,1454.4524
05206,"CONCEPCIÓN,ANTIOQUIA",5838.1628,712.2781
68207,"CONCEPCIÓN,SANTANDER",4655.7894,1101.1674
47205,CONCORDIA,2729.2242,981.7192
05209,CONCORDIA,2022.6346,783.0499
27205,CONDOTO,2550.0466,1243.7392
68209,CONFINES,3212.9553,1311.7986
52207,CONSACÁ,3076.3037,452.8108
52210,CONTADERO,4769.1722,815.4555
68211,CONTRATACIÓN,7887.0142,1417.0294
54206,CONVENCIÓN,1569.3365,1344.8818
05212,COPACABANA,10437.5895,1740.0808
15212,COPER,1510.2428,391.8071
19212,CORINTO,2103.6326,1437.649
68217,COROMORO,2609.9836,959.2792
70215,COROZAL,7241.231,1792.8419
15215,CORRALES,3181.8417,0.0
25214,COTA,12387.2838,1442.9321
23300,COTORRA,5982.5134,1479.0813
15218,COVARACHÍA,5664.9501,1264.1853
70221,COVEÑAS,6776.5444,1279.7061
73217,COYAIMA,2923.6773,1965.3725
81220,CRAVO NORTE,5533.6753,2270.994
52224,CUASPUD CARLOSAMA,2475.0578,484.2343
50223,CUBARRAL,3351.1041,1256.4831
15223,CUBARÁ,3137.1435,609.0254
15224,CUCAITA,2392.2995,188.75
25224,CUCUNUBÁ,4813.3857,1530.1467
54223,CUCUTILLA,1914.6352,847.9368
50226,CUMARAL,5814.0439,1194.7648
99773,CUMARIBO,621.0816,363.305
52227,CUMBAL,2777.7642,1236.8589
52233,CUMBITARA,3622.0078,630.1324
73226,CUNDAY,2383.4069,839.9099
18205,CURILLO,3041.6364,2034.0063
68229,CURITÍ,3426.6052,1137.8213
20228,CURUMANÍ,3997.0662,1619.7015
15226,CUÍTIVA,2805.9794,578.3969
05120,CÁCERES,3319.9531,1354.9902
54128,CÁCHIRA,1864.8104,1034.6674
54125,CÁCOTA,5529.9359,1130.8858
25151,CÁQUEZA,6288.9956,2157.4397
27160,CÉRTEGUI,2783.7374,274.3144
15204,CÓMBITA,7982.1299,1497.1894
52215,CÓRDOBA,2595.0162,948.3004
63212,CÓRDOBA,3836.1844,403.9466
13212,CÓRDOBA,3068.8356,710.8955
54001,CÚCUTA,9695.9235,4229.8088
05234,DABEIBA,8779.1634,1691.8156
76233,DAGUA,4211.7624,1486.2489
44090,DIBULLA,1851.6364,1003.3965
44098,DISTRACCIÓN,6791.462,2866.8846
73236,DOLORES,3708.4116,1687.2336
05237,DONMATÍAS,7743.9821,1454.3116
66170,DOSQUEBRADAS,9168.1428,1566.8095
15238,DUITAMA,16673.9218,3192.149
54239,DURANIA,3339.5623,291.9523
05240,EBÉJICO,3605.6792,831.3789
05250,EL BAGRE,5766.2424,2581.3015
47245,EL BANCO,3858.5166,1966.424
76246,EL CAIRO,3091.9874,836.6617
50245,EL CALVARIO,4959.9109,359.5238
27135,EL CANTÓN DEL SAN PABLO,2123.7894,1131.1287
54245,EL CARMEN,1109.2434,908.5386
27245,EL CARMEN DE ATRATO,9981.2531,1441.4596
13244,EL CARMEN DE BOLÍVAR,3717.0799,1288.6973
68235,EL CARMEN DE CHUCURI,1994.082,869.4989
05148,EL CARMEN DE VIBORAL,8338.8262,1759.2654
50251,EL CASTILLO,2115.8366,974.5249
76248,EL CERRITO,5964.3799,2125.5789
52250,EL CHARCO,1659.2465,675.5847
15244,EL COCUY,2613.4553,2199.5246
25245,EL COLEGIO,6081.5448,1570.4981
20238,EL COPEY,4647.3385,1539.859
18247,EL DONCELLO,3986.5161,1422.7599
50270,EL DORADO,1282.3241,1660.861
76250,EL DOVIO,5600.4773,1668.9552
91263,EL ENCANTO (ANM),374.6606,0.0
15248,EL ESPINO,2365.1504,1264.8501
68245,EL GUACAMAYO,2472.0474,620.3878
13248,EL GUAMO,3512.2303,590.166
27250,EL LITORAL DEL SAN JUAN,184.9597,63.0508
44110,EL MOLINO,8275.6211,2832.7627
20250,EL PASO,5526.514,1710.5471
18256,EL PAUJÍL,2624.6469,971.9903
52254,EL PEÑOL,4877.5065,673.6989
25258,EL PEÑÓN,865.9673,0.0
13268,EL PEÑÓN,2291.0119,641.6838
68250,EL PEÑÓN,1320.5015,520.0303
47258,EL PIÑÓN,2254.574,595.664
68255,EL PLAYÓN,2467.6508,1846.3708
95025,EL RETORNO,2915.7535,1090.3657
47268,EL RETÉN,3002.8555,1701.6588
70233,EL ROBLE,1894.5601,722.0394
25260,EL ROSAL,6868.5101,1637.878
52256,EL ROSARIO,2762.1622,1009.7762
05697,EL SANTUARIO,8578.042,1712.4964
